source_model,target_model,source_training,target_training,attack,epsilon,seed,evaluated_samples,jointly_clean_correct_samples,robust_accuracy,attack_success_rate,conditional_transfer_success_rate,runtime_seconds,device
lenet_fgsm_at,smallcnn_fgsm_at,fgsm_at,fgsm_at,FGSM,0.3,42,10000,9688,0.2798,0.7202,0.7161436829066887,13.723094800028775,cpu
smallcnn_fgsm_at,lenet_standard,fgsm_at,standard,FGSM,0.3,42,10000,9801,0.8857,0.11429999999999996,0.0983573104785226,13.516871000007086,cpu
smallcnn_fgsm_at,smallcnn_standard,fgsm_at,standard,FGSM,0.3,42,10000,9873,0.3986,0.6013999999999999,0.5975893851919376,25.173911800040514,cpu
smallcnn_fgsm_at,lenet_fgsm_at,fgsm_at,fgsm_at,FGSM,0.3,42,10000,9688,0.7002,0.29979999999999996,0.28034682080924855,13.546453499991912,cpu
smallcnn_fgsm_at,smallcnn_fgsm_at,fgsm_at,fgsm_at,FGSM,0.3,42,10000,9920,0.6311,0.3689,0.3652217741935484,25.405600100013544,cpu
lenet_standard,lenet_standard,standard,standard,FGSM,0.0,123,10000,9842,0.9842,0.015800000000000036,0.0,0.7565396000136388,cpu
lenet_standard,smallcnn_standard,standard,standard,FGSM,0.0,123,10000,9823,0.9936,0.006399999999999961,0.0,12.726112600008491,cpu
lenet_standard,lenet_fgsm_at,standard,fgsm_at,FGSM,0.0,123,10000,9723,0.9793,0.02070000000000005,0.0,0.7725197999898228,cpu
lenet_standard,smallcnn_fgsm_at,standard,fgsm_at,FGSM,0.0,123,10000,9804,0.9916,0.008399999999999963,0.0,12.892639699981373,cpu
smallcnn_standard,lenet_standard,standard,standard,FGSM,0.0,123,10000,9823,0.9842,0.015800000000000036,0.0,0.679765300003055,cpu
smallcnn_standard,smallcnn_standard,standard,standard,FGSM,0.0,123,10000,9936,0.9936,0.006399999999999961,0.0,11.82388279998122,cpu
smallcnn_standard,lenet_fgsm_at,standard,fgsm_at,FGSM,0.0,123,10000,9774,0.9793,0.02070000000000005,0.0,0.6724323999733315,cpu
smallcnn_standard,smallcnn_fgsm_at,standard,fgsm_at,FGSM,0.0,123,10000,9891,0.9916,0.008399999999999963,0.0,11.7607446999682,cpu
lenet_fgsm_at,lenet_standard,fgsm_at,standard,FGSM,0.0,123,10000,9723,0.9842,0.015800000000000036,0.0,0.6799869999958901,cpu
lenet_fgsm_at,smallcnn_standard,fgsm_at,standard,FGSM,0.0,123,10000,9774,0.9936,0.006399999999999961,0.0,11.582677699967462,cpu
lenet_fgsm_at,lenet_fgsm_at,fgsm_at,fgsm_at,FGSM,0.0,123,10000,9793,0.9793,0.02070000000000005,0.0,0.6831702999552363,cpu
lenet_fgsm_at,smallcnn_fgsm_at,fgsm_at,fgsm_at,FGSM,0.0,123,10000,9768,0.9916,0.008399999999999963,0.0,11.61323789996095,cpu
smallcnn_fgsm_at,lenet_standard,fgsm_at,standard,FGSM,0.0,123,10000,9804,0.9842,0.015800000000000036,0.0,0.9692889999860199,cpu
smallcnn_fgsm_at,smallcnn_standard,fgsm_at,standard,FGSM,0.0,123,10000,9891,0.9936,0.006399999999999961,0.0,13.6993103999921,cpu
smallcnn_fgsm_at,lenet_fgsm_at,fgsm_at,fgsm_at,FGSM,0.0,123,10000,9768,0.9793,0.02070000000000005,0.0,1.0504760000258102,cpu
smallcnn_fgsm_at,smallcnn_fgsm_at,fgsm_at,fgsm_at,FGSM,0.0,123,10000,9916,0.9916,0.008399999999999963,0.0,13.489408199988247,cpu
lenet_standard,lenet_standard,standard,standard,FGSM,0.05,123,10000,9842,0.8739,0.1261,0.11207071733387523,2.4367416000095545,cpu
lenet_standard,smallcnn_standard,standard,standard,FGSM,0.05,123,10000,9823,0.9878,0.012199999999999989,0.0045810852081848725,14.03577280005993,cpu
lenet_standard,lenet_fgsm_at,standard,fgsm_at,FGSM,0.05,123,10000,9723,0.9721,0.027900000000000036,0.006273783811580788,2.447227800053952,cpu
lenet_standard,smallcnn_fgsm_at,standard,fgsm_at,FGSM,0.05,123,10000,9804,0.9881,0.011900000000000022,0.0018359853121175031,13.669052900004317,cpu
smallcnn_standard,lenet_standard,standard,standard,FGSM,0.05,123,10000,9823,0.9741,0.025900000000000034,0.00977298177746106,12.67667989997426,cpu
smallcnn_standard,smallcnn_standard,standard,standard,FGSM,0.05,123,10000,9936,0.9661,0.03390000000000004,0.027677133655394526,23.685736799998267,cpu
smallcnn_standard,lenet_fgsm_at,standard,fgsm_at,FGSM,0.05,123,10000,9774,0.9744,0.025599999999999956,0.004706363822385922,12.654538000038883,cpu
smallcnn_standard,smallcnn_fgsm_at,standard,fgsm_at,FGSM,0.05,123,10000,9891,0.9884,0.011600000000000055,0.002426448286320898,23.742084400044405,cpu
lenet_fgsm_at,lenet_standard,fgsm_at,standard,FGSM,0.05,123,10000,9723,0.9732,0.026800000000000046,0.00853645994034763,2.1046855000167852,cpu
lenet_fgsm_at,smallcnn_standard,fgsm_at,standard,FGSM,0.05,123,10000,9774,0.988,0.01200000000000001,0.004297114794352364,12.66724490004708,cpu
lenet_fgsm_at,lenet_fgsm_at,fgsm_at,fgsm_at,FGSM,0.05,123,10000,9793,0.9629,0.03710000000000002,0.01674665577453283,2.123288699964178,cpu
lenet_fgsm_at,smallcnn_fgsm_at,fgsm_at,fgsm_at,FGSM,0.05,123,10000,9768,0.9884,0.011600000000000055,0.0018427518427518428,12.612921100080712,cpu
smallcnn_fgsm_at,lenet_standard,fgsm_at,standard,FGSM,0.05,123,10000,9804,0.9809,0.019100000000000006,0.0029579763361893105,12.38728289998835,cpu
smallcnn_fgsm_at,smallcnn_standard,fgsm_at,standard,FGSM,0.05,123,10000,9891,0.9895,0.010499999999999954,0.003538570417551309,23.31448060000548,cpu
smallcnn_fgsm_at,lenet_fgsm_at,fgsm_at,fgsm_at,FGSM,0.05,123,10000,9768,0.9756,0.024399999999999977,0.0035831285831285833,12.399599900003523,cpu
smallcnn_fgsm_at,smallcnn_fgsm_at,fgsm_at,fgsm_at,FGSM,0.05,123,10000,9916,0.9806,0.019399999999999973,0.01109318273497378,23.335337799959234,cpu
lenet_standard,lenet_standard,standard,standard,FGSM,0.1,123,10000,9842,0.5558,0.44420000000000004,0.4352773826458037,2.290297700004885,cpu
lenet_standard,smallcnn_standard,standard,standard,FGSM,0.1,123,10000,9823,0.9748,0.0252,0.015575689707828565,13.200842800026294,cpu
lenet_standard,lenet_fgsm_at,standard,fgsm_at,FGSM,0.1,123,10000,9723,0.9607,0.0393,0.01625012856114368,2.333758599983412,cpu
lenet_standard,smallcnn_fgsm_at,standard,fgsm_at,FGSM,0.1,123,10000,9804,0.9832,0.016800000000000037,0.0055079559363525096,13.188031700061401,cpu
smallcnn_standard,lenet_standard,standard,standard,FGSM,0.1,123,10000,9823,0.951,0.049000000000000044,0.03298381349893108,12.775336299964692,cpu
smallcnn_standard,smallcnn_standard,standard,standard,FGSM,0.1,123,10000,9936,0.8808,0.11919999999999997,0.11352657004830918,24.257850799971493,cpu
smallcnn_standard,lenet_fgsm_at,standard,fgsm_at,FGSM,0.1,123,10000,9774,0.9678,0.032200000000000006,0.011152036013914467,12.802812800029642,cpu
smallcnn_standard,smallcnn_fgsm_at,standard,fgsm_at,FGSM,0.1,123,10000,9891,0.9835,0.01649999999999996,0.007077140835102618,24.23187900002813,cpu
lenet_fgsm_at,lenet_standard,fgsm_at,standard,FGSM,0.1,123,10000,9723,0.9486,0.0514,0.030031883163632624,2.2644318000093335,cpu
lenet_fgsm_at,smallcnn_standard,fgsm_at,standard,FGSM,0.1,123,10000,9774,0.9792,0.02080000000000004,0.011049723756906077,13.284787499927916,cpu
lenet_fgsm_at,lenet_fgsm_at,fgsm_at,fgsm_at,FGSM,0.1,123,10000,9793,0.941,0.05900000000000005,0.039109568058817525,2.311318499982008,cpu
lenet_fgsm_at,smallcnn_fgsm_at,fgsm_at,fgsm_at,FGSM,0.1,123,10000,9768,0.9827,0.017299999999999982,0.005835380835380835,13.454131700040307,cpu
smallcnn_fgsm_at,lenet_standard,fgsm_at,standard,FGSM,0.1,123,10000,9804,0.9725,0.02749999999999997,0.010811913504691963,12.015744200063637,cpu
