source_model,target_model,source_training,target_training,attack,epsilon,robust_accuracy_mean,robust_accuracy_std,attack_success_rate_mean,attack_success_rate_std,conditional_transfer_success_rate_mean,conditional_transfer_success_rate_std
smallcnn_standard,lenet_fgsm_at,standard,fgsm_at,FGSM,0.2,0.8239666666666666,0.19262113937294972,0.1760333333333333,0.19262113937294978,0.15657361980369494,0.19587612228252002
smallcnn_standard,lenet_fgsm_at,standard,fgsm_at,FGSM,0.25,0.7889666666666666,0.19314094162899104,0.21103333333333332,0.19314094162899106,0.19202453700682723,0.19646599811702048
smallcnn_standard,lenet_fgsm_at,standard,fgsm_at,FGSM,0.3,0.7045666666666667,0.181452812966163,0.29543333333333327,0.181452812966163,0.2785912902185364,0.18420758584810198
smallcnn_standard,lenet_standard,standard,standard,FGSM,0.0,0.9834666666666667,0.000945163125250444,0.016533333333333265,0.000945163125250483,0.0,0.0
smallcnn_standard,lenet_standard,standard,standard,FGSM,0.05,0.9754999999999999,0.001509966887054186,0.024499999999999997,0.0015099668870541506,0.007612193613077099,0.0023540388778721423
smallcnn_standard,lenet_standard,standard,standard,FGSM,0.1,0.9565333333333333,0.00493997300937298,0.04346666666666663,0.004939973009372998,0.026337764354948865,0.0059684699766626385
smallcnn_standard,lenet_standard,standard,standard,FGSM,0.15,0.9244666666666667,0.01652311512195364,0.0755333333333333,0.01652311512195368,0.0587882143667918,0.017611719350555725
smallcnn_standard,lenet_standard,standard,standard,FGSM,0.2,0.8637666666666667,0.03947332432584483,0.13623333333333326,0.0394733243258448,0.12032420056825431,0.041005410639671606
smallcnn_standard,lenet_standard,standard,standard,FGSM,0.25,0.7738999999999999,0.07013679490823632,0.22609999999999997,0.07013679490823631,0.2116635451583483,0.0719918346914767
smallcnn_standard,lenet_standard,standard,standard,FGSM,0.3,0.6611666666666667,0.08931166403854168,0.33883333333333326,0.08931166403854172,0.3263331528341648,0.09148542072242073
smallcnn_standard,smallcnn_fgsm_at,standard,fgsm_at,FGSM,0.0,0.9919333333333333,0.0003055050463303557,0.008066666666666633,0.00030550504633033526,0.0,0.0
smallcnn_standard,smallcnn_fgsm_at,standard,fgsm_at,FGSM,0.05,0.9895999999999999,0.001058300524425851,0.0104,0.0010583005244258364,0.0019567279088032667,0.0004544376883754907
smallcnn_standard,smallcnn_fgsm_at,standard,fgsm_at,FGSM,0.1,0.9855333333333333,0.002159475244899393,0.0144666666666666,0.0021594752448994073,0.0054313991513882005,0.001975104501956082
smallcnn_standard,smallcnn_fgsm_at,standard,fgsm_at,FGSM,0.15,0.9779333333333332,0.004572016331262729,0.02206666666666667,0.004572016331262754,0.012549613638861068,0.00453892525100858
smallcnn_standard,smallcnn_fgsm_at,standard,fgsm_at,FGSM,0.2,0.9491666666666667,0.022828125926876528,0.050833333333333335,0.022828125926876545,0.0408828150265422,0.02309847831680256
smallcnn_standard,smallcnn_fgsm_at,standard,fgsm_at,FGSM,0.25,0.7063333333333334,0.048930188363967425,0.2936666666666666,0.04893018836396744,0.2857007071396053,0.0501580333225075
smallcnn_standard,smallcnn_fgsm_at,standard,fgsm_at,FGSM,0.3,0.37673333333333336,0.0780731921553957,0.6232666666666667,0.0780731921553957,0.6191481373651624,0.07863111931384441
smallcnn_standard,smallcnn_standard,standard,standard,FGSM,0.0,0.9925333333333333,0.0010066445913694529,0.007466666666666601,0.0010066445913694405,0.0,0.0
smallcnn_standard,smallcnn_standard,standard,standard,FGSM,0.05,0.9596333333333332,0.008809275414773499,0.04036666666666667,0.00880927541477353,0.03314849519827923,0.008655721673115473
smallcnn_standard,smallcnn_standard,standard,standard,FGSM,0.1,0.8591000000000001,0.035952607694018576,0.14089999999999994,0.03595260769401859,0.13443997443084854,0.036112172437761235
smallcnn_standard,smallcnn_standard,standard,standard,FGSM,0.15,0.6636333333333333,0.08577763888877646,0.3363666666666667,0.08577763888877646,0.33137949021609353,0.08636749933074583
smallcnn_standard,smallcnn_standard,standard,standard,FGSM,0.2,0.44106666666666666,0.07930071458274089,0.5589333333333334,0.07930071458274084,0.5556277057552585,0.07978621377603724
smallcnn_standard,smallcnn_standard,standard,standard,FGSM,0.25,0.28696666666666665,0.05248050431668254,0.7130333333333333,0.052480504316682566,0.7108876062683599,0.05275475959228623
smallcnn_standard,smallcnn_standard,standard,standard,FGSM,0.3,0.2142333333333333,0.04009991687439429,0.7857666666666666,0.04009991687439432,0.7841695547770805,0.040267654079127434
